Language,ISO 639-3 Code,Type
"<a href=""https://en.wikipedia.org/wiki/Akuntsu_language"" target=""_blank"">Akuntsu</a>",aqz,Living
"<a href=""https://en.wikipedia.org/wiki/Akurio_language"" target=""_blank"">Akurio</a>",ako,Living
"<a href=""https://en.wikipedia.org/wiki/Akwa_language"" target=""_blank"">Akwa</a>",akw,Living
"<a href=""https://en.wikipedia.org/wiki/Akyaung_Ari_language"" target=""_blank"">Akyaung Ari Naga</a>",nqy,Living
"<a href=""https://en.wikipedia.org/wiki/Alaba-K%E2%80%99abeena_language"" target=""_blank"">Alaba-K’abeena</a>",alw,Living
"<a href=""https://en.wikipedia.org/wiki/Alabama_language"" target=""_blank"">Alabama</a>",akz,Living
"<a href=""https://en.wikipedia.org/wiki/Inagta_Alabat_language"" target=""_blank"">Alabat Island Agta</a>",dul,Living
"<a href=""https://en.wikipedia.org/wiki/Silacayoapan_Mixtec"" target=""_blank"">Alacatlatzala Mixtec</a>",mim,Living
"<a href=""https://en.wikipedia.org/wiki/Alago_language"" target=""_blank"">Alago</a>",ala,Living
"<a href=""https://en.wikipedia.org/wiki/Alagwa_language"" target=""_blank"">Alagwa</a>",wbj,Living
"<a href=""https://en.wikipedia.org/wiki/Alak_language"" target=""_blank"">Alak</a>",alk,Living
"<a href=""https://en.wikipedia.org/wiki/Alamblak_language"" target=""_blank"">Alamblak</a>",amp,Living
"<a href=""https://en.wikipedia.org/wiki/Alangan_language"" target=""_blank"">Alangan</a>",alj,Living
"<a href=""https://en.wikipedia.org/wiki/Scythian_languages"" target=""_blank"">Alanic</a>",xln,Ancient
"<a href=""https://en.wikipedia.org/wiki/Mamaind%C3%AA_language"" target=""_blank"">Alapmunte</a>",apv,Extinct
"<a href=""https://en.wikipedia.org/wiki/Alawa_language"" target=""_blank"">Alawa</a>",alh,Living
"<a href=""https://en.wikipedia.org/wiki/Albanian_language"" target=""_blank"">Albanian</a>",sqi,Living
"<a href=""https://en.wikipedia.org/wiki/Albanian_Sign_Language"" target=""_blank"">Albanian Sign Language</a>",sqk,Living
"<a href=""https://en.wikipedia.org/wiki/Silacayoapan_Mixtec"" target=""_blank"">Alcozauca Mixtec</a>",xta,Living
"<a href=""https://en.wikipedia.org/wiki/Alege_language"" target=""_blank"">Alege</a>",alf,Living
"<a href=""https://en.wikipedia.org/wiki/Alekano_language"" target=""_blank"">Alekano</a>",gah,Living
"<a href=""https://en.wikipedia.org/wiki/Aleut_language"" target=""_blank"">Aleut</a>",ale,Living
"<a href=""https://en.wikipedia.org/wiki/Algerian_Arabic"" target=""_blank"">Algerian Arabic</a>",arq,Living
"<a href=""https://en.wikipedia.org/wiki/Saharan_Arabic"" target=""_blank"">Algerian Saharan Arabic</a>",aao,Living
"<a href=""https://en.wikipedia.org/wiki/Algerian_Sign_Language"" target=""_blank"">Algerian Sign Language</a>",asp,Living
"<a href=""https://en.wikipedia.org/wiki/Algonquin_language"" target=""_blank"">Algonquin</a>",alq,Living
"<a href=""https://en.wikipedia.org/wiki/Ali_language"" target=""_blank"">Ali</a>",aiy,Living
"<a href=""https://en.wikipedia.org/wiki/Alladian_language"" target=""_blank"">Alladian</a>",ald,Living
"<a href=""https://en.wikipedia.org/wiki/Allar_language"" target=""_blank"">Allar</a>",all,Living
"<a href=""https://en.wikipedia.org/wiki/Alngith_dialect"" target=""_blank"">Alngith</a>",aid,Extinct
"<a href=""https://en.wikipedia.org/wiki/Phola_language"" target=""_blank"">Alo Phola</a>",ypo,Living
"<a href=""https://en.wikipedia.org/wiki/Alo%C3%A1pam_Zapotec"" target=""_blank"">Aloápam Zapotec</a>",zaq,Living
"<a href=""https://en.wikipedia.org/wiki/Alorese_language"" target=""_blank"">Alor</a>",aol,Living
"<a href=""https://en.wikipedia.org/wiki/Al-Sayyid_Bedouin_Sign_Language"" target=""_blank"">Al-Sayyid Bedouin Sign Language</a>",syy,Living
"<a href=""https://en.wikipedia.org/wiki/Alsea_language"" target=""_blank"">Alsea</a>",aes,Extinct
"<a href=""https://en.wikipedia.org/wiki/Kurumba_language"" target=""_blank"">Alu Kurumba</a>",xua,Living
"<a href=""https://en.wikipedia.org/wiki/Phupha_language"" target=""_blank"">Alugu</a>",aub,Living
"<a href=""https://en.wikipedia.org/wiki/Alumu_language"" target=""_blank"">Alumu-Tesu</a>",aab,Living
"<a href=""https://en.wikipedia.org/wiki/Alune_language"" target=""_blank"">Alune</a>",alp,Living
"<a href=""https://en.wikipedia.org/wiki/Aluo_language"" target=""_blank"">Aluo</a>",yna,Living
"<a href=""https://en.wikipedia.org/wiki/Alur_dialect"" target=""_blank"">Alur</a>",alz,Living
"<a href=""https://en.wikipedia.org/wiki/Alyutor_language"" target=""_blank"">Alutor</a>",alr,Living
"<a href=""https://en.wikipedia.org/wiki/Alviri-Vidari_language"" target=""_blank"">Alviri-Vidari</a>",avd,Living
"<a href=""https://en.wikipedia.org/wiki/Upper_Arrernte_language"" target=""_blank"">Alyawarr</a>",aly,Living
"<a href=""https://en.wikipedia.org/wiki/Ama_language_(New_Guinea)"" target=""_blank"">Ama (Papua New Guinea)</a>",amm,Living
"<a href=""https://en.wikipedia.org/wiki/Nyimang_language"" target=""_blank"">Ama (Sudan)</a>",nyi,Living
"<a href=""https://en.wikipedia.org/wiki/Amahai_language"" target=""_blank"">Amahai</a>",amq,Living
"<a href=""https://en.wikipedia.org/wiki/Amawaka_language"" target=""_blank"">Amahuaca</a>",amc,Living
"<a href=""https://en.wikipedia.org/wiki/Amaimon_language"" target=""_blank"">Amaimon</a>",ali,Living
"<a href=""https://en.wikipedia.org/wiki/Amal_language"" target=""_blank"">Amal</a>",aad,Living
"<a href=""https://en.wikipedia.org/wiki/Amanab_language"" target=""_blank"">Amanab</a>",amn,Living
"<a href=""https://en.wikipedia.org/wiki/Amanay%C3%A9_language"" target=""_blank"">Amanayé</a>",ama,Extinct
"<a href=""https://en.wikipedia.org/wiki/Amara_language"" target=""_blank"">Amara</a>",aie,Living
"<a href=""https://en.wikipedia.org/wiki/Amarakaeri_language"" target=""_blank"">Amarakaeri</a>",amr,Living
"<a href=""https://en.wikipedia.org/wiki/Amarasi_language"" target=""_blank"">Amarasi</a>",aaz,Living
"<a href=""https://en.wikipedia.org/wiki/Amatl%C3%A1n_Zapotec"" target=""_blank"">Amatlán Zapotec</a>",zpo,Living
"<a href=""https://en.wikipedia.org/wiki/Amba_language_(Solomon_Islands)"" target=""_blank"">Amba (Solomon Islands)</a>",utp,Living
"<a href=""https://en.wikipedia.org/wiki/Amba_language_(Bantu)"" target=""_blank"">Amba (Uganda)</a>",rwm,Living
"<a href=""https://en.wikipedia.org/wiki/Ambai_language"" target=""_blank"">Ambai</a>",amk,Living
"<a href=""https://en.wikipedia.org/wiki/Ambakich_language"" target=""_blank"">Ambakich</a>",aew,Living
"<a href=""https://en.wikipedia.org/wiki/Ambala_language"" target=""_blank"">Ambala Ayta</a>",abc,Living
"<a href=""https://en.wikipedia.org/wiki/Ambelau_language"" target=""_blank"">Ambelau</a>",amv,Living
"<a href=""https://en.wikipedia.org/wiki/Ambele_language"" target=""_blank"">Ambele</a>",ael,Living
"<a href=""https://en.wikipedia.org/wiki/Amblong_language"" target=""_blank"">Amblong</a>",alm,Living
"<a href=""https://en.wikipedia.org/wiki/Ovambo_language"" target=""_blank"">Ambo</a>",amb,Living
"<a href=""https://en.wikipedia.org/wiki/Malay_trade_and_creole_languages#Ambonese_Malay"" target=""_blank"">Ambonese Malay</a>",abs,Living
"<a href=""https://en.wikipedia.org/wiki/Yaru_Quechua"" target=""_blank"">Ambo-Pasco Quechua</a>",qva,Living
"<a href=""https://en.wikipedia.org/wiki/Ambrak_language"" target=""_blank"">Ambrak</a>",aag,Living
"<a href=""https://en.wikipedia.org/wiki/West_Arawe_language"" target=""_blank"">Ambul</a>",apo,Living
"<a href=""https://en.wikipedia.org/wiki/Abelam_language"" target=""_blank"">Ambulas</a>",abt,Living
"<a href=""https://en.wikipedia.org/wiki/Amdang_language"" target=""_blank"">Amdang</a>",amj,Living
"<a href=""https://en.wikipedia.org/wiki/Amdo_Tibetan"" target=""_blank"">Amdo Tibetan</a>",adx,Living
"<a href=""https://en.wikipedia.org/wiki/Amele_language"" target=""_blank"">Amele</a>",aey,Living
"<a href=""https://en.wikipedia.org/wiki/American_Sign_Language"" target=""_blank"">American Sign Language</a>",ase,Living
"<a href=""https://en.wikipedia.org/wiki/Ifugao_language"" target=""_blank"">Amganad Ifugao</a>",ifa,Living
"<a href=""https://en.wikipedia.org/wiki/Amharic"" target=""_blank"">Amharic</a>",amh,Living
"<a href=""https://en.wikipedia.org/wiki/Marranj_language"" target=""_blank"">Ami</a>",amy,Living
"<a href=""https://en.wikipedia.org/wiki/Amis_language"" target=""_blank"">Amis</a>",ami,Living
"<a href=""https://en.wikipedia.org/wiki/Amo_language"" target=""_blank"">Amo</a>",amo,Living
"<a href=""https://en.wikipedia.org/wiki/Mol_language"" target=""_blank"">Amol</a>",alx,Living
"<a href=""https://en.wikipedia.org/wiki/Amoltepec_Mixtec"" target=""_blank"">Amoltepec Mixtec</a>",mbz,Living
"<a href=""https://en.wikipedia.org/wiki/Ampanang_language"" target=""_blank"">Ampanang</a>",apg,Living
"<a href=""https://en.wikipedia.org/wiki/Ampari_Dogon"" target=""_blank"">Ampari Dogon</a>",aqd,Living
"<a href=""https://en.wikipedia.org/wiki/Amri_language"" target=""_blank"">Amri Karbi</a>",ajz,Living
"<a href=""https://en.wikipedia.org/wiki/Amto_language"" target=""_blank"">Amto</a>",amt,Living
"<a href=""https://en.wikipedia.org/wiki/Kagwahiva_language"" target=""_blank"">Amundava</a>",adw,Living
"<a href=""https://en.wikipedia.org/wiki/Amurdag_language"" target=""_blank"">Amurdak</a>",amg,Living
"<a href=""https://en.wikipedia.org/wiki/Ana_Dogon"" target=""_blank"">Ana Tinga Dogon</a>",dti,Living
"<a href=""https://en.wikipedia.org/wiki/Anaang_language"" target=""_blank"">Anaang</a>",anw,Living
"<a href=""https://en.wikipedia.org/wiki/Anakalangu_language"" target=""_blank"">Anakalangu</a>",akg,Living
"<a href=""https://en.wikipedia.org/wiki/Namfau_language"" target=""_blank"">Anal</a>",anm,Living
"<a href=""https://en.wikipedia.org/wiki/Anam_language"" target=""_blank"">Anam</a>",pda,Living
"<a href=""https://en.wikipedia.org/wiki/Anamb%C3%A9_language"" target=""_blank"">Anambé</a>",aan,Living
"<a href=""https://en.wikipedia.org/wiki/Anamgura_language"" target=""_blank"">Anamgura</a>",imi,Living
"<a href=""https://en.wikipedia.org/wiki/Nisa-Anasi_language"" target=""_blank"">Anasi</a>",bpo,Living
"<a href=""https://en.wikipedia.org/wiki/Manta_language"" target=""_blank"">Áncá</a>",acb,Living
"<a href=""https://en.wikipedia.org/wiki/Ancient_Greek"" target=""_blank"">Ancient Greek (to 1453)</a>",grc,Historic
